trial_num,condition,file,gender,age,education,music_edu,music_years,instrument,listening_freq,pleasant,arousal,emotions
0,,,Mężczyzna,26,Wyższe (lic./inż.),Nie,,,Codziennie,,,
1,atonal,atonal\A5.mp3,,,,,,,,5,4,super
2,tonal,tonal\4T_30s.mp3,,,,,,,,6,3,super+
3,atonal,atonal\a4.mp3,,,,,,,,3,2,super-
4,atonal,atonal\A3.mp3,,,,,,,,2,4,chujowe fakt
5,atonal,atonal\A2.mp3,,,,,,,,4,2,git
6,atonal,atonal\A1.mp3,,,,,,,,4,3,:)
7,tonal,tonal\2T_30s.mp3,,,,,,,,7,3,:):):)
8,tonal,tonal\1T_30s.mp3,,,,,,,,5,2,fajen ale poprzedfnie lepsze
9,tonal,tonal\3T_30s.mp3,,,,,,,,6,lepsze niz poprzednie ale jeszcze poprzednie lepsze,gituweczka ;-)
10,tonal,tonal\5T_30s.mp3,,,,,,,,7,4,10/10
